2026-07-21 04:51:32 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 configure nano:arm64 7.2-1+deb12u1 <none>
2026-07-21 04:51:32 status unpacked nano:arm64 7.2-1+deb12u1
2026-07-21 04:51:32 status half-configured nano:arm64 7.2-1+deb12u1
2026-07-21 04:51:32 status installed nano:arm64 7.2-1+deb12u1
2026-07-21 04:51:32 configure libssh2-1:arm64 1.10.0-3+b1 <none>
2026-07-21 04:51:32 status unpacked libssh2-1:arm64 1.10.0-3+b1
2026-07-21 04:51:32 status half-configured libssh2-1:arm64 1.10.0-3+b1
2026-07-21 04:51:32 status installed libssh2-1:arm64 1.10.0-3+b1
2026-07-21 04:51:32 configure libkrb5-3:arm64 1.20.1-2+deb12u5 <none>
2026-07-21 04:51:32 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 status half-configured libkrb5-3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 status installed libkrb5-3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 configure openssl:arm64 3.0.20-1~deb12u2 <none>
2026-07-21 04:51:32 status unpacked openssl:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:32 status half-configured openssl:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:32 status installed openssl:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:32 configure publicsuffix:all 20230209.2326-1 <none>
2026-07-21 04:51:32 status unpacked publicsuffix:all 20230209.2326-1
2026-07-21 04:51:32 status half-configured publicsuffix:all 20230209.2326-1
2026-07-21 04:51:32 status installed publicsuffix:all 20230209.2326-1
2026-07-21 04:51:32 configure libsasl2-modules:arm64 2.1.28+dfsg-10 <none>
2026-07-21 04:51:32 status unpacked libsasl2-modules:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 status half-configured libsasl2-modules:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 status installed libsasl2-modules:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 configure libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
2026-07-21 04:51:32 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-07-21 04:51:32 status half-configured libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-07-21 04:51:32 status installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-07-21 04:51:32 configure ca-certificates:all 20230311+deb12u1 <none>
2026-07-21 04:51:32 status unpacked ca-certificates:all 20230311+deb12u1
2026-07-21 04:51:32 status half-configured ca-certificates:all 20230311+deb12u1
2026-07-21 04:51:59 status installed ca-certificates:all 20230311+deb12u1
2026-07-21 04:51:59 status triggers-pending ca-certificates:all 20230311+deb12u1
2026-07-21 04:51:59 configure libgssapi-krb5-2:arm64 1.20.1-2+deb12u5 <none>
2026-07-21 04:51:59 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:59 status half-configured libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:59 status installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:59 configure libcurl4:arm64 7.88.1-10+deb12u15 <none>
2026-07-21 04:51:59 status unpacked libcurl4:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:59 status half-configured libcurl4:arm64 7.88.1-10+deb12u15
2026-07-21 04:51:59 status installed libcurl4:arm64 7.88.1-10+deb12u15
2026-07-21 04:52:00 configure curl:arm64 7.88.1-10+deb12u15 <none>
2026-07-21 04:52:00 status unpacked curl:arm64 7.88.1-10+deb12u15
2026-07-21 04:52:00 status half-configured curl:arm64 7.88.1-10+deb12u15
2026-07-21 04:52:00 status installed curl:arm64 7.88.1-10+deb12u15
2026-07-21 04:52:00 trigproc libc-bin:arm64 2.36-9+deb12u14 <none>
2026-07-21 04:52:00 status half-configured libc-bin:arm64 2.36-9+deb12u14
2026-07-21 04:52:00 status installed libc-bin:arm64 2.36-9+deb12u14
2026-07-21 04:52:00 trigproc ca-certificates:all 20230311+deb12u1 <none>
2026-07-21 04:52:00 status half-configured ca-certificates:all 20230311+deb12u1
2026-07-21 04:52:15 status installed ca-certificates:all 20230311+deb12u1
